coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at,market_dominance_pct,volatility_score,volume_to_mcap_ratio,momentum_signal,ath_distance_pct,coin_category,price_position
bitcoin,BTC,Bitcoin,72418.0,1447932934374,1,50176834017.0,72535.0,69460.0,2042.9,0.04,2.9,3.16,20001587.0,126080.0,-42.56221,2026-03-13 12:15:54,59.499,4.25,0.0347,strong_buy,-42.56,large_cap,near_high
ethereum,ETH,Ethereum,2132.37,257150229802,2,24800371434.0,2144.45,2041.7,72.52,0.29,3.52,3.99,120691953.6332311,4946.05,-56.88743,2026-03-13 12:15:54,10.5669,4.82,0.0964,strong_buy,-56.89,large_cap,near_high
tether,USDT,Tether,1.0,184006558667,3,83202097817.0,1.0,0.999899,1.98e-06,-0.0,0.0,0.01,183990520696.0076,1.32,-24.41013,2026-03-13 12:15:54,7.5613,0.01,0.4522,neutral,-24.41,large_cap,near_high
binancecoin,BNB,BNB,668.94,91155742194,4,1195424764.0,668.74,646.73,16.69,0.29,2.56,4.94,136358136.32,1369.99,-51.17185,2026-03-13 12:15:54,3.7458,3.29,0.0131,strong_buy,-51.17,large_cap,near_high
ripple,XRP,XRP,1.42,87178512689,5,2910054523.0,1.44,1.37,0.03571905,-0.3,2.57,1.5,61227832454.0,3.65,-60.94926,2026-03-13 12:15:54,3.5824,4.93,0.0334,buy,-60.95,large_cap,mid_range
usd-coin,USDC,USDC,0.999905,78847387384,6,6230843220.0,1.0,0.99982,-9.8920190988894e-05,-0.0,-0.01,0.0,78854831795.91411,1.043,-4.17466,2026-03-13 12:15:54,3.24,0.02,0.079,sell,-4.17,large_cap,mid_range
solana,SOL,Solana,90.49,51704796425,7,4784893409.0,90.57,85.5,3.62,0.34,4.17,3.75,571236725.0562832,293.31,-69.14769,2026-03-13 12:15:54,2.1247,5.6,0.0925,strong_buy,-69.15,large_cap,near_high
tron,TRX,TRON,0.288802,27364101224,8,371493540.0,0.290377,0.288669,-0.000224545697267,0.05,-0.08,0.66,94747537991.6983,0.431288,-33.03731,2026-03-13 12:15:54,1.1245,0.59,0.0136,buy,-33.04,large_cap,near_low
figure-heloc,FIGR_HELOC,Figure Heloc,1.008,15924422768,9,1014023556.0,1.034,1.002,-0.0186827,0.0,-1.82,-2.57,15795960539.747,1.049,-3.90671,2026-03-13 12:15:54,0.6544,3.17,0.0637,sell,-3.91,large_cap,near_low
dogecoin,DOGE,Dogecoin,0.09984,15337288112,10,1550679196.0,0.100356,0.093579,0.0048789,0.2,5.14,7.27,153385816383.7052,0.731578,-86.35284,2026-03-13 12:15:54,0.6302,6.79,0.1011,strong_buy,-86.35,large_cap,near_high
whitebit,WBT,WhiteBIT Coin,56.62,12081166000,11,63361832.0,56.7,54.75,1.16,0.07,2.09,0.54,213418274.0,64.11,-11.81002,2026-03-13 12:15:54,0.4964,3.44,0.0052,strong_buy,-11.81,large_cap,near_high
