coin_id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,pct_change_1h,pct_change_24h,pct_change_7d,circulating_supply,ath,ath_change_pct,extracted_at,market_dominance_pct,volatility_score,volume_to_mcap_ratio,momentum_signal,ath_distance_pct,coin_category,price_position
bitcoin,BTC,Bitcoin,71498.0,1430086740879,1,22620805334.0,71893.0,70540.0,957.24,0.01,1.36,6.32,20002434.0,126080.0,-43.29131,2026-03-15 15:47:21,59.4195,1.89,0.0158,strong_buy,-43.29,large_cap,mid_range
ethereum,ETH,Ethereum,2094.12,252740911339,2,9268878797.0,2120.83,2072.34,20.58,0.08,0.99,7.71,120691908.6940581,4946.05,-57.66063,2026-03-15 15:47:21,10.5013,2.32,0.0367,strong_buy,-57.66,large_cap,mid_range
tether,USDT,Tether,1.0,184080810048,3,37759852878.0,1.0,0.999995,0.0002205,0.0,0.02,0.03,184032318235.7615,1.32,-24.40184,2026-03-15 15:47:21,7.6485,0.0,0.2051,buy,-24.4,large_cap,near_high
binancecoin,BNB,BNB,660.21,90029173694,4,585721311.0,665.96,652.47,7.14,0.04,1.09,6.88,136357959.57,1369.99,-51.80952,2026-03-15 15:47:21,3.7407,2.04,0.0065,strong_buy,-51.81,large_cap,mid_range
ripple,XRP,XRP,1.42,86850403935,5,1425896619.0,1.43,1.39,0.0284843,0.28,2.05,5.12,61227832454.0,3.65,-61.09679,2026-03-15 15:47:21,3.6086,2.82,0.0164,strong_buy,-61.1,large_cap,near_high
usd-coin,USDC,USDC,0.99999,79165786146,6,4435805033.0,1.0,0.999898,8.011e-05,0.01,0.01,0.01,79166787206.62283,1.043,-4.17417,2026-03-15 15:47:21,3.2893,0.01,0.056,strong_buy,-4.17,large_cap,near_high
solana,SOL,Solana,87.95,50249483763,7,1854614938.0,88.77,86.72,1.22,0.16,1.41,7.22,571356141.5086343,293.31,-70.01558,2026-03-15 15:47:21,2.0878,2.33,0.0369,strong_buy,-70.02,large_cap,mid_range
tron,TRX,TRON,0.298117,28243666532,8,368750820.0,0.298837,0.296103,0.00029495,0.11,0.1,3.76,94749841963.5946,0.431288,-30.87748,2026-03-15 15:47:21,1.1735,0.92,0.0131,strong_buy,-30.88,large_cap,mid_range
figure-heloc,FIGR_HELOC,Figure Heloc,1.003,15891025852,9,8050374.0,1.009,1.003,-0.0064017,0.0,-0.63,-2.05,15847307884.197,1.049,-4.41894,2026-03-15 15:47:21,0.6603,0.6,0.0005,sell,-4.42,large_cap,near_low
dogecoin,DOGE,Dogecoin,0.095116,14591618668,10,757046958.0,0.097094,0.094519,0.0003034,-0.34,0.32,7.29,153420256383.7052,0.731578,-86.99858,2026-03-15 15:47:21,0.6063,2.71,0.0519,buy,-87.0,large_cap,near_low
whitebit,WBT,WhiteBIT Coin,55.75,11898013948,11,14176967.0,56.01,55.15,0.561465,0.2,1.02,3.57,213418274.0,64.11,-13.04588,2026-03-15 15:47:21,0.4944,1.54,0.0012,strong_buy,-13.05,large_cap,mid_range
usds,USDS,USDS,0.999954,11257301027,12,12438054.0,1.001,0.998586,0.00012267,0.0,0.01,-0.0,11256676476.66315,1.057,-5.41707,2026-03-15 15:47:21,0.4677,0.24,0.0011,neutral,-5.42,large_cap,mid_range
cardano,ADA,Cardano,0.263946,9721234314,13,303301103.0,0.266322,0.258906,0.00352971,0.26,1.36,4.72,36833527390.06435,3.09,-91.4495,2026-03-15 15:47:21,0.4039,2.81,0.0312,strong_buy,-91.45,mid_cap,mid_range
bitcoin-cash,BCH,Bitcoin Cash,463.11,9265657860,14,146845995.0,469.08,461.29,1.82,0.03,0.39,3.35,20007703.02165078,3785.82,-87.76726,2026-03-15 15:47:21,0.385,1.68,0.0158,strong_buy,-87.77,mid_cap,near_low
hyperliquid,HYPE,Hyperliquid,37.32,8898434726,15,220059423.0,38.55,37.15,-0.5284282909526254,-0.25,-1.4,22.2,238385315.9541414,59.3,-37.07552,2026-03-15 15:47:21,0.3697,3.75,0.0247,neutral,-37.08,mid_cap,near_low
leo-token,LEO,LEO Token,9.07,8352813113,16,763816.0,9.08,8.97,0.00422965,-0.03,0.05,0.44,921134330.0,10.14,-10.50762,2026-03-15 15:47:21,0.3471,1.21,0.0001,buy,-10.51,mid_cap,near_high
monero,XMR,Monero,354.93,6549169227,17,73852778.0,359.64,351.59,-1.262113901888938,-0.09,-0.35,4.82,18446744.07370955,797.73,-55.50822,2026-03-15 15:47:21,0.2721,2.27,0.0113,neutral,-55.51,mid_cap,mid_range
chainlink,LINK,Chainlink,9.16,6484373165,18,249498971.0,9.31,8.98,0.181795,0.01,2.03,6.48,708099970.4525867,52.7,-82.62082,2026-03-15 15:47:21,0.2694,3.6,0.0385,strong_buy,-82.62,mid_cap,mid_range
ethena-usde,USDE,Ethena USDe,0.999853,5920283102,19,133590190.0,1.001,0.999021,-0.0003564902422296,-0.01,-0.04,0.06,5921266701.696718,1.034,-3.3112,2026-03-15 15:47:21,0.246,0.2,0.0226,neutral,-3.31,mid_cap,mid_range
canton-network,CC,Canton,0.151558,5767244509,20,5338085.0,0.153014,0.149146,0.00090036,-0.03,0.6,-0.57,38045042529.92879,0.194152,-21.9098,2026-03-15 15:47:21,0.2396,2.55,0.0009,neutral,-21.91,mid_cap,mid_range
stellar,XLM,Stellar,0.167379,5525636791,21,69245200.0,0.168568,0.163622,0.00373191,-0.19,2.28,12.1,33016933105.01952,0.875563,-80.87144,2026-03-15 15:47:21,0.2296,2.95,0.0125,buy,-80.87,mid_cap,near_high
usd1-wlfi,USD1,USD1,0.999322,4586067052,22,523140679.0,0.999756,0.998692,-3.6178002418064e-05,-0.01,-0.0,-0.04,4588929259.219517,1.025,-2.48048,2026-03-15 15:47:21,0.1905,0.11,0.1141,sell,-2.48,mid_cap,mid_range
rain,RAIN,Rain,0.00907928,4340690971,23,17075178.0,0.00910529,0.00886918,0.00016542,1.33,1.86,1.56,478058903018.2741,0.01090099,-16.70998,2026-03-15 15:47:21,0.1804,2.6,0.0039,strong_buy,-16.71,mid_cap,near_high
dai,DAI,Dai,0.999999,4301782809,24,129456680.0,1.0,0.999701,0.00011568,-0.0,0.01,-0.0,4301786222.291659,1.22,-17.96138,2026-03-15 15:47:21,0.1787,0.03,0.0301,neutral,-17.96,mid_cap,near_high
litecoin,LTC,Litecoin,55.12,4241898934,25,225582189.0,55.52,54.44,0.661174,-0.11,1.21,3.47,76952101.98347135,410.26,-86.55658,2026-03-15 15:47:21,0.1762,1.96,0.0532,buy,-86.56,mid_cap,mid_range
avalanche-2,AVAX,Avalanche,9.72,4197640588,26,180624944.0,9.87,9.56,0.15966,-0.08,1.67,9.18,431771961.1772119,144.96,-93.29291,2026-03-15 15:47:21,0.1744,3.19,0.043,buy,-93.29,mid_cap,mid_range
paypal-usd,PYUSD,PayPal USD,0.999887,4130291308,27,23399184.0,1.001,0.999223,-5.9093898675533e-05,0.03,-0.01,0.01,4130893285.063527,1.021,-2.04349,2026-03-15 15:47:21,0.1716,0.18,0.0057,buy,-2.04,mid_cap,mid_range
hedera-hashgraph,HBAR,Hedera,0.095293,4126480690,28,94782982.0,0.09708,0.091425,0.00315719,-0.01,3.43,0.26,43303421565.15558,0.569229,-83.25984,2026-03-15 15:47:21,0.1715,5.93,0.023,buy,-83.26,mid_cap,mid_range
sui,SUI,Sui,0.9991,3894120168,29,289600586.0,1.015,0.984728,0.0143723,-0.27,1.46,11.99,3899984688.415443,5.35,-81.31324,2026-03-15 15:47:21,0.1618,3.03,0.0744,buy,-81.31,mid_cap,mid_range
zcash,ZEC,Zcash,227.79,3784317220,30,358440882.0,229.02,208.77,18.98,-0.1,9.09,15.04,16602670.4780448,3191.93,-92.86348,2026-03-15 15:47:21,0.1572,8.89,0.0947,buy,-92.86,mid_cap,near_high
shiba-inu,SHIB,Shiba Inu,5.83e-06,3435318526,31,79827844.0,5.93e-06,5.82e-06,-6.9042620518e-08,-0.31,-1.17,10.04,589243705802168.2,8.616e-05,-93.23289,2026-03-15 15:47:21,0.1427,1.89,0.0232,neutral,-93.23,mid_cap,near_low
crypto-com-chain,CRO,Cronos,0.077758,3196348214,32,8468115.0,0.078097,0.077214,0.0005432,-0.06,0.7,4.31,41105795487.75841,0.891544,-91.27355,2026-03-15 15:47:21,0.1328,1.14,0.0026,buy,-91.27,mid_cap,mid_range
the-open-network,TON,Toncoin,1.3,3182670117,33,71681455.0,1.31,1.29,-0.0034312762619737,0.47,-0.26,-3.49,2457193781.131438,8.25,-84.31943,2026-03-15 15:47:21,0.1322,1.54,0.0225,neutral,-84.32,mid_cap,mid_range
world-liberty-financial,WLFI,World Liberty Financial,0.103659,2866675525,34,48751669.0,0.104997,0.103193,-0.0002529139854533,-0.19,-0.24,6.52,27661789504.0,0.331336,-68.71479,2026-03-15 15:47:21,0.1191,1.74,0.017,neutral,-68.71,mid_cap,mid_range
tether-gold,XAUT,Tether Gold,4971.85,2807144084,35,113895775.0,4996.73,4972.2,-24.20858193960703,-0.14,-0.48,-3.27,564598.641692,5504.62,-9.64201,2026-03-15 15:47:21,0.1166,0.49,0.0406,sell,-9.64,mid_cap,near_low
bittensor,TAO,Bittensor,278.68,2668775503,36,398114475.0,278.5,233.96,44.61,1.71,19.06,57.19,9597491.0,757.6,-63.31244,2026-03-15 15:47:21,0.1109,15.98,0.1492,strong_buy,-63.31,mid_cap,near_high
memecore,M,MemeCore,1.48,2590654904,37,7263510.0,1.54,1.45,-0.0448364233768672,-0.02,-2.93,-0.36,1746368725.463243,2.96,-49.77966,2026-03-15 15:47:21,0.1076,6.08,0.0028,sell,-49.78,mid_cap,mid_range
mantle,MNT,Mantle,0.781466,2562450319,38,60188791.0,0.80454,0.758264,0.02320149,0.12,3.06,15.99,3277944055.53684,2.86,-72.61874,2026-03-15 15:47:21,0.1065,5.92,0.0235,strong_buy,-72.62,mid_cap,mid_range
uniswap,UNI,Uniswap,3.96,2507223176,39,135438436.0,4.0,3.91,0.03622473,0.03,0.92,7.06,633561603.6037512,44.92,-91.18945,2026-03-15 15:47:21,0.1042,2.27,0.054,strong_buy,-91.19,mid_cap,mid_range
pax-gold,PAXG,PAX Gold,5003.85,2503782689,40,91802050.0,5029.26,5003.25,-24.96934731114743,-0.16,-0.5,-3.27,500365.129,5619.09,-10.95791,2026-03-15 15:47:21,0.104,0.52,0.0367,sell,-10.96,mid_cap,near_low
polkadot,DOT,Polkadot,1.42,2371678474,41,105735391.0,1.44,1.4,-0.0135340469809224,-0.09,-0.95,-3.3,1673554555.120947,54.98,-97.42221,2026-03-15 15:47:21,0.0985,2.82,0.0446,sell,-97.42,mid_cap,mid_range
hashnote-usyc,USYC,Circle USYC,1.12,2310904537,42,99.62,,,,0.0,0.0,0.05,2064611344.873509,1.12,-0.00065,2026-03-15 15:47:21,0.096,,0.0,neutral,-0.0,mid_cap,mid_range
okb,OKB,OKB,96.02,2016475900,43,21806412.0,97.86,95.71,-0.0423696712471581,-0.06,-0.04,-1.33,21000000.0,228.74,-58.00186,2026-03-15 15:47:21,0.0838,2.24,0.0108,sell,-58.0,mid_cap,near_low
blackrock-usd-institutional-digital-liquidity-fund,BUIDL,BlackRock USD Institutional Digital Liquidity Fund,1.0,1995324276,44,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1995324276.380449,1.0,0.0,2026-03-15 15:47:21,0.0829,0.0,0.0,sell,0.0,mid_cap,stable
pi-network,PI,Pi Network,0.191997,1862687770,45,49776523.0,0.208609,0.190784,-0.0086974157756987,-0.88,-4.33,-5.57,9699639743.107676,2.99,-93.56018,2026-03-15 15:47:21,0.0774,9.28,0.0267,sell,-93.56,mid_cap,near_low
